1	transformative	意味: 変革的な；大きく変える\nアクセント: trăns-FÔR-mə-tĭv\n類義語: revolutionary, groundbreaking, game-changing	audio/001_transformative.mp3
2	at its core	意味: 本質的には；核心では\nアクセント: ăt ĭts kôr\n類義語: fundamentally, essentially, basically	audio/002_at_its_core.mp3
3	refers	意味: 言及する；指す\n基本形: refer\nアクセント: rĭ-FÛR\n類義語: denotes, points to, indicates	audio/003_refers.mp3
4	intelligence	意味: 知能；知性\nアクセント: ĭn-TĔL-ə-jəns\n類義語: intellect, cognition, smartness	audio/004_intelligence.mp3
5	problem-solving	意味: 問題解決\nアクセント: PRŎB-ləm sŏl-vĭng\n類義語: troubleshooting, solution finding, resolution	audio/005_problem_solving.mp3
6	sophisticated	意味: 高度な；洗練された\nアクセント: sə-FĬS-tə-kā-tĭd\n類義語: advanced, refined, complex	audio/006_sophisticated.mp3
7	recognize speech	意味: 音声を認識する\nアクセント: RĔK-əg-nīz spēch\n類義語: identify spoken words, process voice, understand speech	audio/007_recognize_speech.mp3
8	intertwined	意味: 密接に結びついた\n基本形: intertwine\nアクセント: ĭn-tər-TWĪND\n類義語: interconnected, linked, entangled	audio/008_intertwined.mp3
9	vast memory	意味: 膨大な記憶容量\nアクセント: văst MĔM-ə-rē\n類義語: huge storage, extensive memory, large capacity	audio/009_vast_memory.mp3
10	efficiently	意味: 効率的に\nアクセント: ĭ-FĬSH-ənt-lē\n類義語: effectively, productively, smoothly	audio/010_efficiently.mp3
11	Likewise	意味: 同様に；同じく\nアクセント: LĪK-wīz\n類義語: similarly, likewise, in the same way	audio/011_likewise.mp3
12	enabling	意味: 可能にすること；実現させること\n基本形: enable\nアクセント: ĭ-NĀ-bəl-ĭng\n類義語: allowing, empowering, facilitating	audio/012_enabling.mp3
13	optimize	意味: 最適化する\nアクセント: ŎP-tə-mīz\n類義語: improve, refine, maximize	audio/013_optimize.mp3
14	detect errors automatically	意味: エラーを自動的に検出する\nアクセント: dĭ-TĔKT ĔR-ərz ô-tə-MĂT-ĭ-kəl-lē\n類義語: find mistakes automatically, auto-diagnose errors, identify faults automatically	audio/014_detect_errors_automatically.mp3
15	predict	意味: 予測する\nアクセント: prĭ-DĬKT\n類義語: forecast, anticipate, project	audio/015_predict.mp3
16	a branch of AI	意味: AIの一分野\nアクセント: ə brănch əv ā-ī\n類義語: AI subfield, domain of AI, AI discipline	audio/016_a_branch_of_ai.mp3
17	analyze patterns	意味: パターンを分析する\nアクセント: ĂN-ə-līz PĂT-ərnz\n類義語: identify trends, examine regularities, detect structures	audio/017_analyze_patterns.mp3
18	massive	意味: 大規模な；非常に大きい\nアクセント: MĂS-ĭv\n類義語: enormous, huge, vast	audio/018_massive.mp3
19	decisions	意味: 決定；判断\n基本形: decision\nアクセント: dĭ-SĬZH-ənz\n類義語: choices, judgments, determinations	audio/019_decisions.mp3
20	explicit programming	意味: 明示的なプログラミング\nアクセント: ĭk-SPLĬS-ĭt PRŌ-grăm-ĭng\n類義語: hard-coded programming, manual coding, direct instruction coding	audio/020_explicit_programming.mp3
21	revolutionizing	意味: 革命を起こしている；一新している\n基本形: revolutionize\nアクセント: rĕv-ə-LŪ-shə-nī-zĭng\n類義語: transforming, reshaping, disrupting	audio/021_revolutionizing.mp3
22	efficiency	意味: 効率；能率\nアクセント: ĭ-FĬSH-ən-sē\n類義語: productivity, effectiveness, performance	audio/022_efficiency.mp3
23	accuracy	意味: 正確さ；精度\nアクセント: ĂK-yə-rə-sē\n類義語: precision, exactness, correctness	audio/023_accuracy.mp3
24	Virtual assistants	意味: 仮想アシスタント\n基本形: virtual assistant\nアクセント: VÛR-chōō-əl ə-SĬS-tənts\n類義語: digital helpers, AI assistants, smart assistants	audio/024_virtual_assistants.mp3
25	autonomous	意味: 自律的な；自動運転の\nアクセント: ô-TŎN-ə-məs\n類義語: self-driving, independent, self-governing	audio/025_autonomous.mp3
26	vehicles	意味: 車両；乗り物\n基本形: vehicle\nアクセント: VĒ-ĭ-kəlz\n類義語: cars, transports, automobiles	audio/026_vehicles.mp3
27	ethics	意味: 倫理；倫理学\nアクセント: ĔTH-ĭks\n類義語: morality, moral principles, values	audio/027_ethics.mp3
28	consider	意味: 考慮する；検討する\nアクセント: kən-SĬD-ər\n類義語: examine, take into account, contemplate	audio/028_consider.mp3
29	responsibility	意味: 責任\nアクセント: rĭ-spŏn-sə-BĬL-ə-tē\n類義語: accountability, duty, obligation	audio/029_responsibility.mp3
30	reshape	意味: 作り直す；形を変える\nアクセント: rē-SHĀP\n類義語: transform, remold, redesign	audio/030_reshape.mp3
31	combined	意味: 結合した；組み合わせた\n基本形: combine\nアクセント: kəm-BĪND\n類義語: merged, integrated, united	audio/031_combined.mp3
32	but also	意味: だけでなく〜も\nアクセント: bət ÔL-sō\n類義語: and also, as well as, not only	audio/032_but_also.mp3
33	redefine	意味: 再定義する\nアクセント: rē-dĭ-FĪN\n類義語: reinterpret, reframe, recharacterize	audio/033_redefine.mp3
34	boundaries	意味: 境界；限界\n基本形: boundary\nアクセント: BOUND-ə-rēz\n類義語: limits, borders, frontiers	audio/034_boundaries.mp3
