1	governing	意味: 統治する；運営する\n基本形: govern\nアクセント: GUV-ərn\n類義語: ruling, managing, administering	audio/001_governing.mp3
2	decisions	意味: 決定；判断\n基本形: decision\nアクセント: di-SIZH-ən\n類義語: choices, judgments, resolutions	audio/002_decisions.mp3
3	formula	意味: 方式；公式\nアクセント: FÔR-myə-lə\n類義語: method, equation, recipe	audio/003_formula.mp3
4	Traditionally	意味: 伝統的に；従来は\nアクセント: trə-DISH-ən-əl-ē\n類義語: conventionally, historically, customarily	audio/004_traditionally.mp3
5	assumed	意味: 仮定した；当然だと思った\n基本形: assume\nアクセント: ə-SŪM\n類義語: supposed, presumed, inferred	audio/005_assumed.mp3
6	enterprise	意味: 企業；事業\nアクセント: EN-tər-prīz\n類義語: company, venture, business	audio/006_enterprise.mp3
7	maximize	意味: 最大化する\nアクセント: MAK-sə-mīz\n類義語: optimize, increase, boost	audio/007_maximize.mp3
8	interpretation	意味: 解釈；説明\nアクセント: in-tər-prə-TĀ-shən\n類義語: explanation, reading, analysis	audio/008_interpretation.mp3
9	assertion	意味: 主張；断言\nアクセント: ə-SER-shən\n類義語: claim, statement, declaration	audio/009_assertion.mp3
10	unclear	意味: 不明確な；はっきりしない\nアクセント: ən-KLIR\n類義語: vague, ambiguous, uncertain	audio/010_unclear.mp3
11	operational	意味: 運用上の；業務上の\nアクセント: ô-pə-RĀ-shə-nəl\n類義語: functional, practical, working	audio/011_operational.mp3
12	terms	意味: 条件；用語\n基本形: term\nアクセント: TƏRM\n類義語: conditions, expressions, provisions	audio/012_terms.mp3
13	expense	意味: 費用；経費\nアクセント: ik-SPENS\n類義語: cost, charge, outlay	audio/013_expense.mp3
14	maintenance	意味: 維持；保守\nアクセント: MĀN-tə-nəns\n類義語: upkeep, preservation, servicing	audio/014_maintenance.mp3
15	deferring	意味: 延期すること；先送り\n基本形: defer\nアクセント: di-FƏR\n類義語: postponing, delaying, putting off	audio/015_deferring.mp3
